feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
miRNA_1121,475114608838.8334,10.035648778286893,0.22626280335501692,44.35394872457445,0,0
miRNA_1159,272191173804.4485,9.908013825441417,0.2559923454086984,38.70433629420839,0,0
miRNA_1307,289545433316.4542,9.568330794292478,0.2218637955214148,43.12704906091324,0,0
miRNA_1327,317428821516.4008,9.70546148551251,0.22972866215796905,42.24749926432215,0,0
miRNA_1335,317407740431.5033,9.55489057620552,0.2202708125486238,43.37792404563959,0,0
miRNA_1396,796995538918.755,10.547030525817553,0.22993154339045072,45.87030718054834,0,0
miRNA_854,132663373633.99414,8.1765057517716,0.2130020739847852,38.386977172605604,2.17e-322,5.227e-321
miRNA_387,444595607991.21124,9.924678666407132,0.260380186897295,38.11610547127324,6.932334e-318,1.6313109e-316
miRNA_1381,767222924736.6448,10.61815948615715,0.27930926518642474,38.015779673725,3.1665854e-316,7.296340524e-315
miRNA_169,235041499598.61255,10.077572044781958,0.2659445499480555,37.89350842779187,3.291891547e-314,7.4302694923e-313
miRNA_142,794475316620.415,10.624160611858091,0.28274566081086255,37.574973145087185,5.510490880159134e-309,1.2189205826912004e-307
miRNA_833,141012591443.22278,8.746179587431323,0.2337619404071691,37.414899842964736,2.2369199090254905e-306,4.851045920357241e-305
miRNA_1310,813888572950.2661,10.573939803796208,0.2826825468872376,37.40570445622228,3.1561329357015825e-306,6.712851974780674e-305
miRNA_139,279089381227.4427,9.739627776080331,0.2606203616508493,37.37093953207087,1.158925308124666e-305,2.4184365863884538e-304
miRNA_242,811326372162.2919,10.659038429956421,0.28737068409089994,37.091599874484054,3.8374763419296385e-301,7.859720063285519e-300
miRNA_168,614810479612.2576,10.397843221145099,0.28099104354350685,37.00418024012628,9.808987638413167e-300,1.972498241469993e-298
miRNA_1362,97695063901.96454,8.251488905918372,0.22574498016253097,36.55225865920694,1.6417441886689628e-292,3.2424447726212016e-291
miRNA_534,740117741151.3802,10.573819008191174,0.28949671436105556,36.52483252367307,4.475507701032801e-292,8.684055293582944e-291
miRNA_397,813787441240.7694,10.529464609794232,0.28962021016442074,36.35611134946878,2.1038454623173337e-289,4.011815657453399e-288
miRNA_527,811626085284.7601,10.54378625502117,0.29158531437971974,36.16021018565573,2.571327323937761e-286,4.820149186907058e-285
miRNA_54,373224175765.1004,11.045733846355994,0.3078076288241975,35.885185459989685,5.200930361225823e-282,9.587048299192933e-281
miRNA_528,663847400666.4458,10.365700855347423,0.29111754754771546,35.606582092577014,1.1080675333964194e-277,2.0090535933384258e-276
miRNA_192,514933398855.58264,9.933414178215871,0.27943156111910167,35.54864789944744,8.718121425371578e-277,1.55520037039693e-275
miRNA_1112,86497535803.4252,8.10319136038933,0.2281465495775212,35.51748371998048,2.6407241856983818e-276,4.635938014892715e-275
miRNA_1039,799336168517.9502,10.677812942481708,0.30115874204168314,35.45576286476785,2.3642701214632952e-275,4.085754303653757e-274
miRNA_275,193732742185.92188,9.432057004033823,0.2677966220273969,35.220970797267476,9.549758122969145e-272,1.6249280744621344e-270
miRNA_244,612454542067.4692,10.307707938177927,0.2941547922037208,35.041781440838086,5.201887572491552e-269,8.717102507841903e-268
miRNA_76,148043203420.62485,9.694377640346834,0.2773119742967765,34.95838095318599,9.658509045573094e-268,1.5943747767766926e-266
miRNA_220,166829562326.1354,9.44465286153228,0.27221277723159704,34.69584696789168,9.100467709370349e-264,1.480164306847589e-262
miRNA_1395,66168709165.42747,7.510936710089884,0.21941337246144738,34.23190038888634,8.10974075941835e-257,1.2999091710024195e-255
miRNA_213,393831924274.63934,10.573823806301418,0.31175508810616864,33.91708494810672,3.730491967211346e-252,5.894177308193927e-251
miRNA_1328,155667033205.3117,9.697525559976619,0.28611367326737247,33.89396056900191,8.176507669896242e-252,1.2736926032260907e-250
miRNA_159,813895470813.584,10.541750376651045,0.3124446139029236,33.73958105716094,1.519959439450933e-249,2.3348265833787944e-248
miRNA_366,35797924579.07203,6.880887069006995,0.20669437570554583,33.290151439869945,5.360905458536133e-243,8.122138954987621e-242
miRNA_393,29651905284.088226,6.602125377868291,0.19893336861968242,33.18762168296726,1.6242021958411968e-241,2.427523822432924e-240
miRNA_1114,134593307709.35164,9.074012050969582,0.27350291815157507,33.177020970360445,2.3096404933690502e-241,3.4059498475548927e-240
miRNA_147,534348930665.5055,10.504300053341138,0.3179457350791746,33.03802785945647,2.311346193299717e-239,3.363616960249325e-238
miRNA_623,137489683387.13702,8.976602213787356,0.2739564763994473,32.766526755508615,1.7660244999957535e-235,2.5366533727211733e-234
miRNA_146,812043034055.6089,10.665654721141468,0.3306612961789804,32.25552807174736,2.942960249120272e-228,4.1729667122141287e-227
miRNA_612,88785736709.42264,8.374592631899244,0.26104838588569934,32.080614494073444,8.21782237286128e-226,1.1504951322005792e-224
miRNA_1113,90258720472.43825,9.02963042285072,0.28199634042368543,32.02038157404508,5.675115525730054e-225,7.8458472143218e-224
miRNA_462,139379362.8770163,16.223598189541935,0.5142778321855893,31.54636885784971,2.0109435373024698e-218,2.7458068546376935e-217
miRNA_622,442510435519.2555,10.146979007398421,0.32333191193469774,31.382547261365815,3.501486896062468e-216,4.722737203713524e-215
miRNA_391,58312620066.24426,8.237009786489816,0.26249873056834133,31.379236648709497,3.885233046864929e-216,5.17719006003929e-215
miRNA_820,111014018444.88136,9.05363473862054,0.2903717854311814,31.17945748474335,2.023368026417502e-213,2.664101234783044e-212
miRNA_643,671441531005.7839,10.4678772113637,0.3373885924246244,31.026174110205925,2.391823373210418e-211,3.112184295024379e-210
miRNA_167,811364930678.1521,10.725736473547363,0.3516157656061122,30.504139810279643,2.2964411851698975e-204,2.953330175346403e-203
miRNA_160,729443048570.5924,10.833161933290675,0.35673668165053385,30.367389984030435,1.4810620200092576e-202,1.882821372563493e-201
miRNA_205,20552806333.883972,6.289338060011251,0.20882110311601587,30.11830684812085,2.7904584161106807e-199,3.5070988729754694e-198
miRNA_235,91442432891.2117,8.999477435863907,0.3000435263984617,29.993906363813643,1.1784025572201025e-197,1.4643968857139702e-196
miRNA_237,32689272093.230934,7.328534757414183,0.24528050022057588,29.878179271584074,3.7804501420590295e-196,4.645753174574763e-195
miRNA_821,81957350159.65259,8.616394349933293,0.2888904327584363,29.825821048003096,1.807610317276781e-195,2.196941770228703e-194
miRNA_166,811998411875.0189,10.75632380797045,0.36690570140827267,29.31631688110891,6.425465380531734e-189,7.724526859639237e-188
miRNA_395,27186690966.518127,6.76802572619636,0.23281072848474835,29.070935734990147,8.368419205641521e-186,9.952120044558626e-185
miRNA_236,36035792251.4782,7.06107624208612,0.2445010380386269,28.87953482214089,2.1580094777880623e-183,2.5391047685463794e-182
miRNA_153,40969161205.60588,7.715367953372219,0.2672436754812074,28.870161059863,2.829715224599438e-183,3.2943842509547137e-182
miRNA_198,803647153297.8267,11.075096610468279,0.38840161762683895,28.514548106513804,7.733587715973429e-179,8.909737514444388e-178
miRNA_21,39070853343.53118,7.045647880996861,0.2485447275051428,28.347605486224104,8.958641248563212e-177,1.021469816588754e-175
miRNA_846,671479980633.4478,10.398203464272346,0.3672098883581694,28.316785015686012,2.1475554528934662e-176,2.4236697254083406e-175
miRNA_182,124942474921.26929,9.051071606358928,0.3204388587029143,28.24586145074986,1.600088477023553e-175,1.7875735915030803e-174
miRNA_1369,60961217203.38163,8.630794477652898,0.3071444635553766,28.1001141213695,9.764681241748796e-174,1.0799737453374169e-172
miRNA_219,813786090604.6348,10.829818871094382,0.39182289091271283,27.639576763540756,3.724188641548495e-168,4.0781709282699366e-167
miRNA_151,804260290357.591,11.065012994635273,0.4021520277011239,27.514502557372904,1.1774826080798891e-166,1.2767605534670171e-165
miRNA_389,720250668179.8385,11.29147475866343,0.412800268026274,27.353361015610453,9.849277111365412e-165,1.0576019888514705e-163
miRNA_1077,720782280963.4526,10.916011749285174,0.40263173438703165,27.111652701453746,7.176545328340189e-162,7.631979935715624e-161
miRNA_118,15584642304.337168,5.3283919914453595,0.1979312958552478,26.920411794515548,1.2670519483967866e-159,1.3346280523112819e-158
miRNA_934,761603399330.7029,10.97169275654967,0.4144253664252483,26.474471992844776,1.9076587074476747e-154,1.9904438966388002e-153
miRNA_473,703117527109.0658,10.742415268310108,0.4064578723599272,26.429344832070242,6.304586425075723e-154,6.51670335152687e-153
miRNA_536,36326114228.71706,8.171270489118879,0.3113843835596164,26.241747886352947,8.878904818201595e-152,9.092656230491633e-151
miRNA_172,133510429893.43852,10.432887360408513,0.39809584863747455,26.206973511821793,2.2130044474696405e-151,2.2454889164233232e-150
miRNA_1309,8716504.584834728,11.100673247411166,0.42584465201195,26.067424341164816,8.537890883301042e-150,8.584461197209956e-149
miRNA_293,18560346891.682068,7.615192575439012,0.3008804288592843,25.30969729174537,2.49821282901904e-141,2.489210260265818e-140
miRNA_174,813387908050.4349,10.73523328561897,0.4294158314713227,24.999621576215436,6.171596878113526e-138,6.094451917137107e-137
miRNA_1056,18981.176922129027,11.591106142608654,0.46579836081678055,24.88438585804289,1.0981232235839656e-136,1.0748002524635982e-135
miRNA_399,22024175745.342308,7.3732090028425405,0.29818657459565096,24.726830887141084,5.504662735122096e-135,5.340488583372841e-134
miRNA_268,803987558607.1537,11.384859790678078,0.4626641093387139,24.60718166998185,1.0582833139912906e-133,1.0177924741516239e-132
miRNA_1045,10760857801.335522,4.983784438327605,0.203666117201031,24.470366042321626,3.0553919106342694e-132,2.913158149277157e-131
miRNA_196,374132268719.84467,10.982599087824976,0.45539268619342926,24.116766519961384,1.6674033643326954e-128,1.5761949751726164e-127
miRNA_161,810812869866.4924,11.447242803059316,0.47660376785520814,24.018364048135222,1.7879415180666816e-127,1.6758163720184323e-126
miRNA_199,813777325470.7107,10.796809731329047,0.4520007430342636,23.886707926297817,4.209969617924935e-126,3.912795291953764e-125
miRNA_162,810796730208.6165,11.545638432064504,0.48523805898869105,23.793761058494354,3.8753291692704834e-125,3.5717617176776287e-124
miRNA_726,719769.186328676,-10.926296105072138,0.4631247997175516,-23.592552399992005,4.596021465402203e-123,4.2009915212684597e-122
miRNA_271,10834327894.606853,5.720734311150078,0.2442751267232926,23.41922564072744,2.722546759606338e-121,2.468144849282467e-120
miRNA_427,6977010560.958312,6.632781837098647,0.2842918997288088,23.33088576714911,2.1547994498977402e-120,1.9375676354365047e-119
miRNA_197,374931447762.4969,11.07631681159316,0.47524357191989075,23.306610475228553,3.799252362477751e-120,3.38868799427451e-119
miRNA_245,22290039760.016174,7.006659948253636,0.30092715598862535,23.28357480811229,6.503936132163818e-120,5.754682689738546e-119
miRNA_1375,465631690233.02325,10.686860370968725,0.46002598711572185,23.2309927488518,2.2144209261729543e-119,1.9437694796407045e-118
miRNA_1049,18062135827.35574,6.623406618869146,0.28602094027382613,23.157068893375904,1.233892098291912e-118,1.0745548509534289e-117
miRNA_829,12771692825.023314,6.269368042758859,0.2707446587898597,23.15601744751268,1.264360639101408e-118,1.0924866147235604e-117
miRNA_1376,462881659929.58826,10.627355685466423,0.4611851443594349,23.043577650852857,1.706027412473622e-117,1.4626870683688572e-116
miRNA_1377,468682726012.41205,10.65216935952142,0.4631939400813468,22.997212264155852,4.970515722742987e-117,4.228761837964418e-116
miRNA_125,613982920454.1805,11.237250696646568,0.48993770542317006,22.936080592002416,2.0290744859066457e-116,1.713096474360878e-115
miRNA_422,19961910106.75583,6.928969021229324,0.3029320955291247,22.87301056405611,8.627142228932414e-116,7.228499473635795e-115
miRNA_392,23511955445.674866,8.08867565556213,0.3540600073455609,22.845493667031473,1.6201894542673982e-115,1.3473154409170995e-114
miRNA_932,13432124530.307577,6.770869032531009,0.2999894737852307,22.570355376463738,8.476201710222837e-113,6.996029172766013e-112
miRNA_459,7627941019.656594,6.602505682653884,0.2974217722993204,22.199133680130288,3.5013318444498895e-109,2.8684985333048726e-108
miRNA_1104,38947046243.92064,9.62347697142075,0.43448527635607526,22.1491440449503,1.0631973932740993e-108,8.646296448243778e-108
miRNA_158,737969692829.5465,11.455295636872155,0.5186687781444809,22.085955661054186,4.313278901603159e-108,3.4821069088854696e-107
miRNA_269,778612730055.5308,11.646102951138268,0.5277129340261378,22.06901176798034,6.274797797158896e-108,5.0289321475780717e-107
miRNA_1006,33591032559.28923,8.38373465201744,0.381507132235652,21.97530253992451,4.962320013217087e-107,3.9484359241856824e-106
miRNA_886,389555.09897763893,17.267068417433652,0.7880878429190842,21.91008092889275,2.0821190130748185e-106,1.6448740203291067e-105
miRNA_175,28295083375.368134,7.815146118288397,0.35702944994425395,21.889359881961116,3.280886102789684e-106,2.5735177515499223e-105
miRNA_455,5460202246.059973,6.274443523894544,0.28809232454420935,21.77928042276495,3.6475629455678516e-105,2.840989167463411e-104
miRNA_41,342602.68849605956,8.71491930322837,0.4025886886001187,21.64720358520724,6.458181423506992e-104,4.994929128950163e-103
miRNA_406,692030463433.7378,10.780860194462914,0.5008400785212588,21.525554077648174,8.97413529728586e-103,6.892634471387611e-102
miRNA_68,545173871513.40094,10.725155528717663,0.5030197622808761,21.321539098356443,7.166251836997912e-101,5.466120366703235e-100
miRNA_67,495561533015.39624,10.551377509446729,0.49821664930971515,21.17829166099885,1.5142497075395657e-99,1.1470960113279175e-98
miRNA_529,507359523822.51764,11.072812379791122,0.525044501074698,21.089283588584415,9.976085464295662e-99,7.505816682660545e-98
miRNA_394,726852433079.6089,11.98509010541167,0.5765714950666214,20.78682385092038,5.695829674538179e-96,4.2564781216481256e-95
miRNA_890,372675.6299240207,19.89888044535775,0.9666566304985718,20.58526245777109,3.720174790653095e-94,2.761418334538472e-93
miRNA_276,4270165847.881209,4.847859666960629,0.24370805549974356,19.89207807275673,4.7658638421479295e-88,3.51403027294374e-87
miRNA_266,766368987.1922406,7.1735576477363905,0.36569020214912257,19.616488507425554,1.118153171999632e-85,8.18991661080525e-85
miRNA_851,6996908600.856336,4.941092743431656,0.25208196946758754,19.601135114373886,1.512129813271217e-85,1.100273403603925e-84
miRNA_907,10714922378.947735,11.760396257024759,0.6015115211096638,19.55140648898839,4.013033064988899e-85,2.9009245554756358e-84
miRNA_110,4318675801.457923,4.2595287375608315,0.2191794344660484,19.433979962297265,3.9825182591689656e-84,2.860172204312257e-83
miRNA_222,339586215079.6175,10.6424044344996,0.5502457139798623,19.341185517874088,2.418506933099831e-83,1.7257217212957506e-82
miRNA_353,598.4727107500386,13.749148766663172,0.7116788233293427,19.319316967087126,3.6950729516037e-83,2.6197119772267257e-82
miRNA_801,10296.528545679335,-10.479232072080054,0.5461857222134082,-19.186206533581924,4.826085668728531e-82,3.3997775475246846e-81
